Sequence 0, length 5
(0,0) 0.007 0.018 0.166 0.592 1.000
(0,1) 0.006 0.027 0.179 0.528 1.000
(1,0) 0.005 0.021 0.153 0.605 1.000
(1,1) 0.007 0.015 0.169 0.606 1.000

Sequence 1, length 7
(0,0) 0.000 0.001 0.012 0.046 0.069 0.592 1.000
(0,1) 0.000 0.002 0.014 0.037 0.099 0.528 1.000
(1,0) 0.000 0.002 0.011 0.044 0.079 0.605 1.000
(1,1) 0.001 0.001 0.012 0.046 0.057 0.606 1.000

Sequence 2, length 10
(0,0) 0.000 0.000 0.001 0.001 0.002 0.003 0.011 0.041 0.115 1.000
(0,1) 0.000 0.000 0.001 0.001 0.002 0.003 0.012 0.037 0.166 1.000
(1,0) 0.000 0.000 0.001 0.001 0.002 0.003 0.010 0.033 0.132 1.000
(1,1) 0.000 0.000 0.001 0.001 0.002 0.003 0.011 0.042 0.095 1.000

Sequence 3, length 3
(0,0) 0.069 0.592 1.000
(0,1) 0.099 0.528 1.000
(1,0) 0.079 0.605 1.000
(1,1) 0.057 0.606 1.000

Sequence 4, length 12
(0,0) 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.001 0.005 0.014 0.115 1.000
(0,1) 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.001 0.004 0.019 0.166 1.000
(1,0) 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.001 0.004 0.015 0.132 1.000
(1,1) 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.001 0.005 0.011 0.095 1.000

Sequence 5, length 5
(0,0) 0.002 0.020 0.078 0.115 1.000
(0,1) 0.003 0.023 0.063 0.166 1.000
(1,0) 0.003 0.019 0.073 0.132 1.000
(1,1) 0.002 0.021 0.077 0.095 1.000

Sequence 6, length 7
(0,0) 0.001 0.001 0.011 0.097 0.166 0.592 1.000
(0,1) 0.001 0.002 0.016 0.087 0.179 0.528 1.000
(1,0) 0.001 0.002 0.013 0.099 0.153 0.605 1.000
(1,1) 0.001 0.001 0.009 0.102 0.169 0.606 1.000
