Sequence 0, length 5
(0,0) 0.175 0.021 0.002 0.000 0.000
(0,1) 0.168 0.001 0.006 0.002 0.001
(1,0) 0.019 0.021 0.003 0.003 0.002
(1,1) 0.035 0.012 0.004 0.003 0.002

Sequence 1, length 7
(0,0) 0.175 0.021 0.002 0.000 0.000 0.000 0.000
(0,1) 0.168 0.001 0.006 0.002 0.000 0.000 0.000
(1,0) 0.019 0.021 0.003 0.003 0.000 0.000 0.000
(1,1) 0.035 0.012 0.004 0.003 0.000 0.000 0.000

Sequence 2, length 10
(0,0) 0.175 0.021 0.001 0.001 0.000 0.001 0.000 0.000 0.000 0.000
(0,1) 0.168 0.001 0.007 0.004 0.002 0.001 0.000 0.000 0.000 0.000
(1,0) 0.019 0.021 0.013 0.007 0.004 0.001 0.000 0.000 0.000 0.000
(1,1) 0.035 0.012 0.012 0.008 0.005 0.001 0.000 0.000 0.000 0.000

Sequence 3, length 3
(0,0) 0.114 0.002 0.006
(0,1) 0.005 0.024 0.009
(1,0) 0.018 0.038 0.005
(1,1) 0.016 0.027 0.007

Sequence 4, length 12
(0,0) 0.114 0.005 0.001 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
(0,1) 0.005 0.001 0.002 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
(1,0) 0.018 0.009 0.001 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
(1,1) 0.016 0.004 0.001 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000

Sequence 5, length 5
(0,0) 0.114 0.007 0.001 0.001 0.000
(0,1) 0.005 0.020 0.005 0.000 0.000
(1,0) 0.018 0.009 0.009 0.001 0.001
(1,1) 0.016 0.009 0.010 0.001 0.001

Sequence 6, length 7
(0,0) 0.059 0.023 0.002 0.000 0.000 0.000 0.000
(0,1) 0.200 0.001 0.000 0.001 0.000 0.000 0.000
(1,0) 0.080 0.021 0.003 0.002 0.000 0.000 0.000
(1,1) 0.110 0.015 0.002 0.002 0.000 0.000 0.000
